year,Member States,Returnees_total,Frontex staff,"Escorts, observers, escort leaders, medical staff",Medical personnel,Monitors,frontex_contribution,Escort Leaders,Escorts,Escorts from Pool,frontex_contribution_per_person,use_of_force
2012,Belgium,5,0,12,0,0,1502.01,0,0,0,300.402,0
2012,Bulgaria,5,0,13,0,0,3272.16,0,0,0,654.432,0
2012,Czech Republic,1,0,3,0,0,204.81,0,0,0,204.81,0
2012,Denmark,0,0,1,0,0,645.4,0,0,0,0,0
2012,Finland,9,0,25,0,0,155876.69,0,0,0,17319.632222222222,0
2012,France,62,0,169,0,0,207918.43,0,0,0,3353.523064516129,0
2012,Frontex,0,35,0,0,0,43780.56,0,0,0,0,0
2012,Germany,644,0,639,0,0,977902.86,0,0,0,1518.4827018633541,0
2012,Germany (observer),0,0,1,0,0,802.01,0,0,0,0,0
2012,Greece,19,0,50,0,0,12636.67,0,0,0,665.0878947368421,0
2012,Hungary,42,0,70,0,0,3118.91,0,0,0,74.2597619047619,0
2012,Ireland,101,0,163,0,0,178959.91,0,0,0,1771.8802970297031,0
2012,italy,7,0,16,0,0,23237.85,0,0,0,3319.692857142857,0
2012,Italy,151,0,356,0,0,603536.15,0,0,0,3996.9281456953645,0
2012,Latvia,0,0,2,0,0,536.76,0,0,0,0,0
2012,Luxembourg,33,0,22,0,2,5120.9,0,0,0,155.17878787878786,0
2012,Malta,48,0,116,0,0,5864.139999999999,0,0,0,122.16958333333332,0
2012,Netherlands,24,0,82,0,3,311246.13,0,0,0,12968.58875,0
2012,Netherlands (observer),0,0,1,0,0,798.72,0,0,0,0,0
2012,Norway,79,0,169,0,0,646892.24,0,0,0,8188.509367088607,0
2012,Poland,18,0,38,0,0,15007.9,0,0,0,833.7722222222222,0
2012,Portugal,5,0,8,0,0,4692.7300000000005,0,0,0,938.546,0
2012,Romania,6,0,16,0,0,6042.72,0,0,0,1007.12,0
2012,Spain,354,0,551,0,0,1490252.1400000001,0,0,0,4209.751807909605,0
2012,Sweden,200,0,370,0,0,813169.66,0,0,0,4065.8483,0
2012,Switzerland,6,0,19,0,0,31809.440000000002,0,0,0,5301.573333333334,0
2012,UK,0,0,0,0,0,18478.52,0,0,0,0,0
2013,Austria,81,0,222,0,8,1184148.79,0,0,0,14619.120864197532,0
2013,Belgium,60,0,175,0,8,0,0,0,0,0,0
2013,Bulgaria,42,0,94,0,0,47331.79,0,0,0,1126.947380952381,0
2013,Croatia,0,0,1,0,0,972.25,0,0,0,0,0
2013,Denmark,5,0,13,0,0,40931,0,0,0,8186.2,0
2013,Estonia,0,0,1,0,0,842.24,0,0,0,0,0
2013,European Commission,0,0,1,0,0,0,0,0,0,0,0
2013,Finland,26,0,59,0,0,168602,0,0,0,6484.692307692308,0
2013,France,105,0,227,0,0,195695.64,0,0,0,1863.768,0
2013,Frontex,0,37,89,0,0,35145.18,0,0,0,0,0
2013,GEO Escorts,0,0,18,0,0,0,0,0,0,0,0
2013,Germany,458,0,432,0,0,867075.77,0,0,0,1893.178537117904,0
2013,Greece,84,0,178,0,0,0,0,0,0,0,0
2013,Hungary,28,0,48,0,0,10297.71,0,0,0,367.7753571428571,0
2013,Iceland,39,0,48,0,1,114417.26,0,0,0,2933.775897435897,0
2013,Ireland,64,0,157,0,1,222490.21,0,0,0,3476.40953125,0
2013,Italy,165,0,433,0,0,817337.5,0,0,0,4953.560606060606,0
2013,Malta,2,0,7,0,0,2838.3,0,0,0,1419.15,0
2013,Netherlands,24,0,90,0,2,313739.69,0,0,0,13072.487083333333,0
2013,Norway,52,0,130,0,0,425788.35,0,0,0,8188.237499999999,0
2013,Poland,29,0,33,0,0,11983.95,0,0,0,413.2396551724138,0
2013,Portugal,7,0,18,0,0,6245.16,0,0,0,892.1657142857142,0
2013,Romania,6,0,17,0,0,5331.58,0,0,0,888.5966666666667,0
2013,Slovenia,2,0,5,0,0,0,0,0,0,0,0
2013,Spain,542,0,955,0,2,2365761.52,0,0,0,4364.873653136531,0
2013,Sweden,195,0,318,0,0,571308.29,0,0,0,2929.7861025641027,0
2013,Switzerland,6,0,12,0,1,33783.96,0,0,0,5630.66,0
2013,UK,42,0,103,0,0,0,0,0,0,0,0
2014,Albania,0,0,32,0,0,1210,0,0,0,0,0
2014,Austria,80,0,200,0,9,583656.05,0,0,0,7295.700625,0
2014,Belgium,59,0,131,0,9,0,0,0,0,0,0
2014,Bulgaria,31,0,72,0,0,19697.57,0,0,0,635.4054838709677,0
2014,Denmark,17,0,38,0,1,12276.36,0,0,0,722.1388235294118,0
