user_country,systems,installed,donors,donation_amount,date_of_agreement,entry_into_operation,end_of_operation
Jamaica,MIDAS,uncertain,NA,NA,NA,NA,NA
Jordan,MIDAS,yes,"IOM, Japan","Japan (via IOM): at least  $754,953",NA,2022,NA
Liberia,MIDAS,yes,IOM,NA,NA,2017,NA
Libya,MIDAS,yes,"US (via IoM), IOM",NA,2021,NA,NA
Madagascar,MIDAS,yes,NA,NA,NA,NA,NA
Malawi,MIDAS,yes,"IOM, World Bank",NA,NA,NA,NA
Mali,MIDAS,yes,"IOM, Japan, UN MINUSMA, EU (EUCAP-Sahel)","IOM: $ amount unknown, provided MIDAS system + training. EU/Frontex: 4 million Euros (for training, establishing interoperability)",NA,NA,NA
Marshall Islands,MIDAS,yes,"IOM, Japan (uncertain)",NA,2018,NA,NA
Mauritania,MIDAS,yes,NA,NA,NA,NA,NA
Niger,MIDAS,yes,"IOM, EU, Japan, Canada, Switzerland, Denmark, Germany, UK, Italy, US","IOM: at least $4,500,000 (sought furether funding), provided MIDAS system + training. US: $3 million (for upgraded facilities, MIDAS/PISCES interoperability)",NA,2016,NA
Nigeria,MIDAS,yes,"EU, Switzerland, Japan, Denmark, Germany, Norway, Canada","Japan (via IOM): $910,000. Canada: ""56 desktop computers, 50 sets of fingerprint scanners, passport readers and webcams, among other items"" (source: https://nigeria.un.org/en/107042-un-canada-hand-over-midas-equipment-nigeria-immigration-service-international-travel-resumes)",NA,2016,NA
Panama,MIDAS,yes,US,NA,NA,NA,NA
Paraguay,MIDAS,yes,IOM,"IOM: MIDAS: $321600, $200000 (see https://www.iom.int/sites/g/files/tmzbdl486/files/developmentfund/publications/ibm-thematic-review-final.pdf)",NA,2015 (uncertain),NA
Philippines,MIDAS,yes,NA,NA,NA,NA,NA
Republic of the Congo,MIDAS,yes,NA,NA,NA,NA,NA
Sierra Leone,MIDAS,yes,IOM,NA,NA,2023,NA
Somalia,MIDAS,yes,"US, EU, Germany, IOM","US: donation of  $387,000 for MIDAS and ""TIP equipment"" (i.e. PISCES?), plus $749,702 (via IOM) for fingerprint scanners. EU: €307.5 million in total via EUTF. IOM: provided MIDAS, fingerprint scanners, and training.",NA,NA,NA
Somaliland,MIDAS,yes,Japan,NA,NA,NA,NA
South Sudan,MIDAS,yes,Japan,NA,NA,2011,NA
Sudan,MIDAS,yes,IOM< EU,IOM (backed by EU): provided training,NA,NA,NA
Tanzania,MIDAS,yes,"IOM, EU",NA,NA,NA,NA
Democratic Republic of the Congo,MIDAS,yes,Belgium (uncertain),NA,NA,NA,NA
The Gambia,MIDAS,yes,"IOM, Japan, International Trade Centre,  UNDP, UNICEF",Japan: $2.58 million,NA,2021,NA
Timor-Leste,MIDAS,yes,"Australia, IOM","IOM: $200,000; Australia: $1.5mil",NA,2022,NA
Togo,MIDAS,yes,"US, Germany, IOM",NA,NA,2022,NA
Tonga,MIDAS,yes,IOM,NA,NA,NA,NA
Tunisia,MIDAS,yes,IOM,NA,NA,NA,NA
Trinidad and Tobago,MIDAS,yes,NA,NA,NA,NA,NA
Turkmenistan,MIDAS,yes,IOM,NA,NA,NA,NA
Uganda,MIDAS,yes,"US, Japan",NA,NA,NA,NA
Zambia,MIDAS,yes,IOM,NA,NA,NA,NA
Vanuatu,MIDAS,yes,Japan,NA,NA,NA,NA
Pakistan,GTAS,yes,NA,NA,2019,2019,NA
Maldives,GTAS,yes,NA,NA,NA,2019,NA
Uganda,GTAS,yes,NA,NA,NA,2017,NA
Laos,GTAS,yes,NA,NA,NA,2020,NA
Cambodia,GTAS,yes,NA,NA,NA,2020,NA
Bermuda,GTAS,yes,NA,NA,NA,2020,NA
Sri Lanka,GTAS,uncertain,NA,NA,NA,NA,NA
Afghanistan,"I-24/7, FIND, MIND",NA,NA,NA,NA,NA,NA
Albania,"I-24/7, FIND, MIND",NA,NA,NA,NA,NA,NA
Algeria,"I-24/7, FIND, MIND",NA,NA,NA,NA,NA,NA
Andorra,"I-24/7, FIND, MIND",NA,NA,NA,NA,NA,NA
Angola,"I-24/7, FIND, MIND",NA,NA,NA,NA,NA,NA
